"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"UNC070481733",1.45,1.5085,1.553,1.601,2.019,1.6145,1.511,1.348
"UNC070482687",0.029,0.019,0.456,0.0335,0.015,0.4955,0.5365,0.035
"UNC070485231",0.027,0.84,0.963,0.031,0.751,0.9215,0.065,0.973
"UNC070488761",0.0255,0.0275,0.901,0.034,0.028,0.9845,0.0315,0.026
"UNC070494982",0.6675,0.629,0.691,0.643,0.712,0.6795,0.5745,0.569
"UNC070497637",0.4655,0.4,0.502,0.444,0.201,0.442,0.667,0.636
"UNC070498591",0.0075,0.012,0.005,0.0045,0.009,0.0095,0.005,0.011
"UNC070498983",0.1,0.1105,0.852,0.1065,0.595,0.097,0.0925,0.085
"UNC070499108",0.9465,0.9655,0.013,1.076,0.012,0.985,0.024,0.969
"UNC070500524",0.027,0.0325,1.433,0.031,0.017,0.0305,0.0255,0.03
"UNC070501772",0.0325,0.028,1.304,1.2045,0.029,0.0385,1.239,1.253
"UNC070502272",0.6555,0.68,0.435,0.599,0.689,0.7025,0.591,0.589
"UNC070505904",1.986,1.9935,1.795,2.0485,2.499,1.8795,1.8725,1.815
"UNC070506340",1.1305,1.0225,0.032,0.0225,0.969,1.052,0.0195,0.021
"UNC070507692",0.213,0.227,0.622,0.289,0.219,0.2265,0.1545,0.198
"UNC070508775",0.394,0.3965,0.019,0.3815,0.332,0.4025,0.6335,0.011
"UNC070509006",0.0205,0.0135,0.776,0.769,0.012,0.015,0.742,0.017
"UNC070511916",1.6765,1.777,1.701,1.9005,2.246,1.716,1.7285,1.585
"UNC070513198",0,0.702,0.711,0.0035,0.004,0.737,0.0015,0.72
"UNC070514546",1.3505,1.2975,0.928,1.1085,1.563,1.047,1.0275,1.233
"UNC070514593",1.1135,0.033,0.013,0.0155,0.962,0.0205,0.016,1.174
"UNC070514752",2.1965,2.1455,2.045,2.3345,2.726,2.14,2.232,1.974
"UNC070514849",1.113,1.0755,1.079,1.0085,1.409,1.0995,0.9835,1.204
"UNC070514898",0.135,1.165,1.117,1.2335,0.147,1.1795,0.157,0.094
"UNC070515933",0.458,0.54,0.519,0.2825,0.432,0.464,0.224,0.22
"UNC070516320",0.0305,0.953,0.952,0.0175,0.034,0.928,0.0315,0.033
"UNC070516922",1.0635,1.0435,0.032,0.062,1.24,0.043,0.0555,0.034
"UNC070517053",0.027,0.029,1.143,0.0415,0.028,0.0285,1.503,1.344
"UNC070517424",1.43,1.496,0.036,0.0615,1.769,0.049,0.0375,1.471
"UNC070519618",0.4685,0.426,0.213,0.3255,0.465,0.4205,0.334,0.25
"UNC070520944",0.0115,0.0275,1.168,0.0135,0.025,0,0.004,0.004
"UNC070528609",0.0085,0.0125,1.065,1.156,0.004,1.0905,1.1635,1.106
"UNC070530383",0.845,0.8035,0.044,0.042,0.677,0.044,0.814,0.04
"UNC070530519",0.3095,0.2985,0.702,0.2505,0.391,0.2965,0.592,0.251
"UNC070539428",0.06,1.109,1.13,0.06,1.226,0.0595,1.0965,1.174
"UNC070542917",0.2465,0.233,0,0.3605,0.138,0.218,0.3255,0.202
"UNC070544171",0.6515,0.6975,0.02,0.7075,0.423,0.7225,0.67,0.829
"UNC070545188",0.0935,0.0815,0.096,0.101,0.087,0.0735,0.0945,0.073
"UNC070545457",0.5015,0.6675,0.041,0.6915,0.398,0.2325,0.4,0.033
"UNC070545830",0.5395,0.5945,0.057,0.6295,0.524,0.563,0.567,0.575
"UNC070549971",0.016,1.063,0.947,0.015,1.043,1.068,0.012,0.012
"UNC070559724",1.534,1.4505,1.345,1.523,1.89,1.4745,1.471,1.394
"UNC070560009",0.569,0.657,0.051,0.0435,0.596,0.074,0.647,0.613
"UNC070561144",0.0525,0.057,1.384,0.058,0.043,0.056,1.399,1.303
"UNC070573362",0.0105,0.7325,0.72,0.01,0.542,0.766,0.012,0.012
"UNC070579593",1.2085,0.0565,0.045,1.193,0.05,0.054,1.203,0.043
"UNC070580020",0.534,1.033,1.018,0.4815,1.233,1.0435,0.6135,0.534
"UNC070580184",1.4805,1.4645,0.021,0.02,0.015,0.022,0.023,1.366
"UNC070580996",0.935,0.947,0.015,0.9775,0.028,0.0215,0.904,0.013
"UNC070581139",0.0025,0.0025,1.287,0.0045,1.47,1.414,0.0025,0.011
"UNC070592931",0.902,0.824,0.778,0.061,0.84,0.7735,1.01,0.845
"UNC070597524",1.784,1.7645,1.651,1.8745,2.188,1.757,1.817,1.6
"UNC070598406",0.3675,0.0825,0.451,0.0835,0.076,0.081,0.0705,0.062
"UNC070599199",1.138,1.1525,0.024,0.025,1.227,1.1875,0.039,1.15
"UNC070599898",0.869,0.884,0.063,0.843,0.764,0.9055,0.8945,0.911
"UNC070601097",2.1245,2.027,1.865,2.1095,2.446,2.0545,2.0395,1.831
"UNC070601309",0.6785,0.766,0.064,0.1255,0.563,0.7155,0.093,0.762
"UNC070603817",0.016,0.8145,0.014,0.007,0.652,0.8175,0.015,0.827
"UNC070610149",2.1955,2.174,1.952,2.2545,2.694,2.087,2.069,2.021
"UNC070613074",1.3095,1.2585,1.16,1.3545,1.733,1.2525,1.253,1.228
"UNC070615471",1.0605,1.0835,0.965,0.992,1.316,1.0905,0.8985,0.982
"UNC070619110",0.303,0.4445,0.277,0.0595,0.397,0.451,0.0485,0.432
"UNC070619927",0.0255,0.292,0.027,0.155,0.207,0.2945,0.279,0.297
"UNC070620568",1.159,0.0185,1.046,0.0185,1.204,1.159,0.024,0.015
"UNC070621878",1.508,0.0175,1.443,0.006,1.678,1.493,5e-04,0.011
"UNC070622161",0.024,0.0205,1.094,0.016,0.016,0.0185,0.029,0.026
"UNC070622599",0.972,0,0.994,1.0225,1.01,1.0475,0.007,0.006
"UNC070625905",0.0065,0.0225,1,0.018,0.028,0.0225,0.018,0.03
"UNC070628845",0.101,0.883,0.096,0.0445,0.875,0.8445,0.0465,0.817
"UNC070637194",1.262,1.4055,1.703,0.1445,1.254,0.099,0.139,1.756
"UNC070638788",0.014,0.7405,0.016,0.018,0.625,0.7215,0.019,0.018
"UNC070640557",0.009,0.372,0.009,0.9285,0.233,0.1675,0.5585,0.464
"UNC070644812",0.438,0.439,0.911,0.74,0.507,1.256,0.692,0.461
"UNC070651347",1.054,0.8455,1.092,1.063,1.109,0.524,1.085,0.405
"UNC070657683",0.1965,0.1885,0.893,0.176,0.25,0.2125,0.206,0.938
"UNC070659254",0.9645,0.046,0.988,0.0405,0.052,0.9615,0.035,0.036
"UNC070659712",2.57,2.5035,2.359,2.5185,3.127,2.4345,2.438,2.293
"UNC070661867",0.0335,0.044,0.505,0.3065,0.039,0.037,0.0365,0.182
"UNC070662297",2.5195,2.4905,2.299,2.6425,3.07,2.443,2.456,2.295
"UNC070663518",0.769,0.7575,0.008,0.7275,0.703,0.7925,0.009,0.763
"UNC070664154",0.81,0.745,0.013,0.7355,0.599,0.8,0.738,0.01
"UNC070671365",0.0185,0.911,0.02,0.8735,0.727,0.018,0.926,0.016
"UNC070672415",1.0655,0.0115,1.141,0.0185,0.014,1.1625,1.33,1.188
"UNC070675737",0.0175,0.0545,0.018,0.9445,0.039,1.004,0.051,1.035
"UNC070677048",0.054,1.214,0.049,0.057,1.411,0.0505,1.32,1.168
"UNC070678404",0.298,0.0215,0.314,0.015,0.02,0.0085,0.0165,0.011
"UNC070679160",0.031,1.275,0.023,1.3365,1.597,1.266,1.3555,0.032
"UNC070680015",0.6745,0.6825,0.651,0.6645,0.855,0.646,0.663,0.638
"UNC070681659",0.2305,0.0705,0.238,0.0685,0.081,0.064,0.058,0.048
"UNC070683191",1.1405,0.0145,1.054,0.0175,0.031,1.1835,0.019,1.122
"UNC070684636",0.193,0.216,0.648,0.1975,0.234,0.2045,0.2115,0.166
"UNC070684930",0.7435,0.672,0.71,0.7835,0.883,0.698,0.6985,0.591
"UNC070685929",0.031,0.0115,1.11,0.028,0.023,0.0115,0.0065,0.008
"UNC070686589",1.38,1.3975,1.304,1.4575,1.723,1.3995,1.408,1.307
"UNC070701190",1.24,0.0305,1.199,0.044,0.051,1.243,1.412,0.032
"UNC070702966",1.0815,0.0315,1.025,0.0145,1.364,1.0455,0.0175,1.016
"UNC070705925",0.018,1.4245,0.03,0.0295,0.012,0.024,1.525,1.376
"UNC070706211",1.0295,0.0435,1.013,0.024,1.031,1.041,0.0235,0.03
"UNC070708000",0.778,0.715,0.773,0.7545,1.018,0.724,0.6855,0.613
"UNC070712222",1.226,1.235,1.123,1.1545,1.376,1.241,1.3425,0.956
"UNC070720613",0.579,0.5925,0.494,0.4405,0.83,0.823,0.837,0.761
"UNC070721782",1.1615,1.2245,1.138,0.0535,0.043,0.0415,1.2295,1.122
"UNC070731034",0,0.9465,0.975,5e-04,0.003,0.963,0,0
"UNC070735503",1.983,1.95,1.886,1.982,2.545,1.971,1.861,1.846
"UNC070779832",1.276,0.0135,1.238,1.353,1.28,0.0105,0.0175,0.011
"UNC070790469",1.702,1.749,1.537,0.1745,0.182,1.705,0.1775,0.11
"UNC070798769",0.496,0.497,0.363,0.594,0.307,0.5395,0.6085,0.573
"UNC070814219",0.035,0.0385,1.357,1.483,0.028,0.033,0.03,0.021
"UNC070863496",0.651,0.6395,0.55,0.7215,0.789,0.6145,0.669,0.531
"UNC070876645",0.8305,0.8625,0.558,0.0315,1.084,0.213,0.039,0.764
"UNC070882701",0,0.0015,0,0.01,0.013,0.0065,0,0.006
"UNC070931469",0.349,0.673,0.652,0.3465,0.577,0.682,0.35,0.662
"UNC070958453",0.8315,0.9475,0.93,0.319,0.9,0.665,0.339,0.64
"UNC070984495",0.0835,0.0815,1.245,0.076,0.092,0.093,0.057,0.051
"UNC071025778",0.5435,0.4655,0.488,0.1565,0.245,0.1355,0.1705,0.468
"UNC071152032",0.7945,0.7495,0.753,0.017,0.605,0.019,0.023,0.016
"UNC071227090",1.0385,1.1025,0.017,1.2365,1.182,1.1465,1.239,1.07
"UNC071390137",0.015,0.0185,0.016,0.802,0.716,0.006,0.0145,1.21
"UNC071406781",0.0035,0,0.003,0.416,0.306,0.003,0.361,0.345
"UNC071532348",0.4585,0.449,0.439,0.186,0.47,0.465,0.1945,0.217
"UNC071555265",1.0845,1.064,1.015,0.024,1.265,0.0135,0.0215,1.004
"UNC071583531",1.222,1.303,1.2,0.005,1.343,0.0075,1.5065,0.005
"UNC071604590",0.0245,0.0235,0.029,0.0085,0.018,0.021,0.0175,0.02
"UNC071623588",0.0315,0.0285,0.03,1.0545,0.024,1.0035,1.072,0.025
"UNC071672172",0.0095,0.0115,0.018,0.0125,0.008,0.199,0.179,0.213
"UNC071754840",1.2015,1.1955,1.17,1.3205,0.038,0.0635,1.362,0.059
"UNC071776603",0.8545,0.899,0.839,0.024,0.027,0.878,0.0195,0.017
"UNC080007365",0.8905,0.057,0.053,0.999,0.041,0.9775,0.998,0.965
"UNC080026940",0.563,0.01,0.013,0.415,0.001,0.5575,0.4255,0.632
"UNC080035066",0.0085,1.296,1.306,0.0035,1.264,0.009,0.0125,0.012
"UNC080038685",0.8205,0.019,0.014,0.0185,0.624,0.832,0.0145,0.829
"UNC080042549",1.258,1.2195,1.146,1.25,1.604,1.1615,1.154,1.166
"UNC080043200",0.3745,0.3395,0.28,0.363,0.444,0.329,0.332,0.311
"UNC080043240",0.0515,0.4905,0.443,0.467,0.364,0.0485,0.448,0.046
"UNC080045510",1.787,1.6805,1.517,1.832,2.144,1.648,1.738,1.553
"UNC080049150",0.032,1.0575,1.003,0.0585,1.086,0.0535,0.055,1.035
"UNC080050184",1.1245,1.0495,1.005,1.1225,1.466,1.0565,0.897,0.995
"UNC080051079",2.357,2.312,2.127,2.392,2.836,2.2545,2.3075,2.112
"UNC080060264",0.0175,0.0165,1.195,0.0205,0.035,0.021,0.012,0.4
"UNC080069223",0.397,0.478,0.392,0.4425,0.696,0.4055,0.4285,0.427
"UNC080072254",1.5395,1.5285,1.411,1.631,2.061,1.5195,1.621,1.489
"UNC080073182",0.4905,0.4365,0.026,0.03,0.306,0.024,0.401,0.03
"UNC080076748",1.079,1.0055,1.064,1.0845,1.158,1.203,1.2135,1.135
"UNC080077895",0,0.002,0.005,0.002,0.003,0.0155,0.0045,0.007
"UNC080079721",0.0335,0.03,0.293,0.043,0.027,0.346,0.3565,0.019
"UNC080080244",0.02,0.023,0.001,0.006,0.029,0.0075,0.02,0.019
"UNC080083433",0.1455,0.1355,0.416,0.139,0.16,0.145,0.4945,0.496
"UNC080083840",0.6805,0.651,0.659,0.777,0.852,0.799,0.542,0.56
"UNC080084297",1.547,1.6945,0.028,0.0505,2.077,1.6435,0.0575,0.029
"UNC080086534",0.425,0.442,0.363,0.424,0.531,0.4395,0.4505,0.412
"UNC080092290",0.9325,0.8965,0.848,0.8885,1.222,0.84,0.8385,0.831
"UNC080109658",0.0965,0.0855,0.958,0.9865,0.081,0.964,0.9525,0.053
"UNC080123845",0.0495,0.0595,1.662,0.0535,0.017,1.714,0.056,0.05
"UNC080143171",0.5125,0.533,0.557,0.718,0.558,0.4975,0.5525,0.451
"UNC080160446",0.229,0.2315,0.006,0.0055,0.179,0.238,0.007,0.004
"UNC080165075",0.001,0,0.436,0.0025,0.002,0,0.3125,0
"UNC080178696",0.498,0.494,0.4,0.461,0.508,0.4725,0.431,0.467
"UNC080183083",0.1485,0.149,0.038,0.1195,0.137,0.0385,0.075,0.029
"UNC080198053",1.39,1.371,1.246,1.4015,1.721,1.3325,1.3655,1.212
"UNC080198948",1.8995,1.9375,1.847,2.036,2.356,1.8735,1.9725,1.794
"UNC080201350",0.5645,0.5165,0.598,0.6415,0.637,0.522,0.5625,0.503
"UNC080204947",0.0035,0.003,1.059,1.1225,0.012,0.003,1.1915,1.221
"UNC080206141",0,0,0.421,0.0025,0,0,0.2745,0
"UNC080207086",0.0955,1.033,0.99,0.9745,0.93,0.0935,0.0625,0.079
"UNC080207603",0.7565,0.0135,0.01,0.9475,0.003,0.773,0.0145,0.767
"UNC080215628",0.004,0.408,0.514,0.003,0.234,0.0035,0.0035,0
"UNC080217065",0.0165,0.0115,0.31,0.0125,0.12,0.013,0.0105,0.299
"UNC080227523",0.9605,0.9535,0.89,1.034,1.306,0.958,0.8795,0.864
"UNC080228041",0.6415,0.647,0.57,0.7085,0.797,0.647,0.6295,0.542
"UNC080229115",0.023,0.027,0.392,0.0215,0.337,0.0215,0.183,0.017
"UNC080229588",0.1245,0.117,0.544,0.146,0.587,0.1015,0.107,0.093
"UNC080230543",1.124,1.0675,0.01,1.2395,0.004,1.0905,1.193,1.097
"UNC080231421",1.0115,1.0665,1.183,1.076,1.529,1.053,1.0705,1.162
"UNC080233097",1.4105,1.4195,1.272,1.4535,1.781,1.374,1.439,1.355
"UNC080233406",0.6425,0.5785,0.007,0.2215,0.319,0.609,0.5065,0.703
"UNC080234648",0.075,0.0775,1.229,0.9585,0.06,0.0815,1.006,1.252
"UNC080236873",0.766,0.7645,0.67,0.7875,0.931,0.7585,0.816,0.743
"UNC080237919",0.699,0.0015,0,0.0015,0,0.7015,0.606,0.002
"UNC080238281",0.9765,0.9445,0.035,0.031,0.81,0.032,0.03,0.031
"UNC080238861",0.012,0.0095,0.743,0.007,0.004,0.013,0.0105,0.009
"UNC080240289",0.307,0.3,0.029,0.0165,0.288,0.0305,0.0135,0.3
"UNC080240896",0.104,0.114,0.107,0.099,0.127,0.1235,0.1025,0.099
"UNC080241062",1.9725,1.8625,1.795,2.0085,2.471,1.844,2.0155,1.799
"UNC080241495",1.153,1.1575,1.042,1.182,1.51,1.1255,1.2125,1.108
"UNC080242192",0.009,0.0085,1.207,1.4415,0.008,1.3025,1.423,0.002
"UNC080245535",0.486,0.499,0.229,0.573,0.472,0.5415,0.2645,0.559
"UNC080247073",0.007,0.013,1.196,0.0105,0.006,0.0075,0.0125,0.007
"UNC080252462",1.02,1.02,0.268,0.2515,1.078,1.006,0.2565,1.014
"UNC080265600",0.018,0.971,0.983,0.013,0.944,0.0175,0.0255,0.02
"UNC080267832",0.1365,1.322,1.313,0.213,0.23,0.1625,0.156,0.137
"UNC080269076",0,0.729,0.738,0.0175,0.575,0,0.015,0.737
"UNC080271738",1.3435,0.0605,0.044,0.0605,0.075,1.3955,1.474,1.364
"UNC080272242",0.7975,0.014,0.012,0.019,0.788,0.845,0.011,0.011
"UNC080272713",0.836,0.0105,0.015,0.846,0.725,0.8515,0.014,0.853
"UNC080273732",1.7285,1.6585,1.562,1.7635,2.157,1.761,1.708,1.57
"UNC080274180",0.0205,0.021,1.19,0.022,1.259,1.1725,0.0365,1.225
"UNC080276646",0.851,0.021,0.024,0.261,0.707,0.018,0.8295,0.017
"UNC080285524",0.8645,0.841,0.801,0.932,1.054,0.8505,0.8705,0.761
"UNC080288620",2.475,2.46,2.298,2.546,2.902,2.3975,2.4305,2.351
"UNC080301746",0.011,1.364,1.267,0.0155,1.423,0.0125,0.021,1.334
"UNC080306518",0.011,0.0055,0.941,0.008,0.016,0.9085,0.8015,0.013
"UNC080308330",1.7695,0.016,0.026,0.0355,0.024,0.025,1.836,1.772
"UNC080312390",1.4435,1.368,0.045,0.0385,1.532,0.0435,0.0565,1.348
"UNC080313218",1.0785,0.0475,0.045,1.4175,0.037,0.0455,0.055,1.065
"UNC080321534",0.311,0.18,0.117,0.608,0.371,0.2945,0.7165,0.262
"UNC080337381",0.005,1.041,1.051,0.007,0.013,0.006,0.007,0.009
"UNC080339632",0.089,1.451,1.398,0.125,0.078,0.0945,1.4505,0.079
"UNC080349791",0.6835,0.006,0.004,0.002,0.624,0.727,0.8705,0
"UNC080360144",1.4435,0.037,0.03,1.5815,0.053,0.0395,1.681,0.043
"UNC080361651",0.01,0.846,0.927,0.774,0.618,0.015,0.0095,0.019
"UNC080368796",0.7695,0.748,0.021,0.7435,0.572,0.733,0.647,0.02
"UNC080369699",0.759,0.0065,0.004,0.0075,0.614,0.6985,0.0095,0.703
"UNC080369832",2.004,2.0585,1.886,2.0385,2.361,1.917,1.998,1.927
"UNC080371381",0.878,0.852,0.011,0.804,0.755,0.9145,0.8615,0.97
"UNC080380507",0.609,0.5905,0.533,0.0795,0.612,0.5705,0.0775,0.152
"UNC080381079",0.0475,0.0665,1.222,0.137,1.339,0.0485,0.101,1.336
"UNC080382463",0.0915,0.0925,1.025,0.124,0.096,0.092,0.116,0.082
"UNC080383177",0.757,0.7655,0.677,0.732,0.944,0.688,0.669,0.679
"UNC080383989",1.4995,1.496,1.301,1.5305,1.923,1.463,1.496,1.348
"UNC080385506",0.997,1.069,0.163,1.021,1.15,1.0935,1.076,0.056
"UNC080385765",1.0165,0.939,0.595,0.7235,1.128,0.989,0.9495,0.573
"UNC080387061",1.173,1.194,0.063,1.33,1.432,1.224,0.1045,1.2
"UNC080387739",0.6205,0.613,0.528,0.578,0.677,0.5795,0.5375,0.51
"UNC080391787",1.3685,1.348,1.267,1.4075,1.826,1.35,1.3345,1.244
"UNC080394735",0.681,0.714,0.658,0.6485,0.861,0.6075,0.5385,0.654
"UNC080398225",0.055,0.846,0.754,0.038,0.794,0.88,0.095,0.048
"UNC080399632",0.658,0.638,1.081,1.1675,1.504,0.6335,1.062,1.181
"UNC080402275",1.216,1.174,1.111,1.2305,1.449,1.192,1.1795,1.097
"UNC080403439",0.067,0.087,0.8,0.0695,0.737,0.8305,0.0565,0.809
"UNC080403561",1.2555,1.3175,0.007,0.0135,1.45,1.263,0.0235,1.257
"UNC080406193",0.748,0.701,0.2,0.233,0.568,0.207,0.2165,0.181
"UNC080409441",2.4175,2.281,2.059,2.427,2.885,2.2955,2.3495,2.039
"UNC080411834",1.6865,1.6915,1.551,1.8335,2.034,1.5875,1.6745,1.401
"UNC080412507",0.049,0.0405,0.35,0.041,0.052,0.3465,0.0355,0.32
"UNC080413223",0.0805,0.0935,0.794,0.0405,0.105,0.883,0.957,0.068
"UNC080413949",0.6185,0.6145,0.419,0.628,0.545,0.6025,0.5945,0.411
"UNC080416318",0.6035,0.6045,0.138,0.614,0.641,0.6385,0.107,0.639
"UNC080416960",1.3815,1.42,0.021,0.031,1.46,1.4675,0.0305,1.362
"UNC080418592",0.875,0.8105,0.714,0.8825,0.957,0.8235,0.7995,0.777
"UNC080419996",1.4945,1.572,1.445,1.6425,1.946,1.578,1.5855,1.442
"UNC080421314",0.043,0.055,0.038,0.024,0.058,0.032,0.033,0.038
"UNC080423356",0.1955,0.1335,0.173,0.1355,0.154,0.1125,0.088,0.105
"UNC080424354",1.2785,0.0275,0.027,1.4185,0.024,1.277,0.031,1.26
"UNC080424557",1.0075,0.9955,1.013,1.092,1.281,0.989,0.9755,0.926
"UNC080425262",0.1515,0.143,0.172,0.105,0.155,0.137,0.1785,0.085
"UNC080430520",0.1255,0.2445,0.208,0.1535,0.082,0.2475,0.151,0.111
"UNC080430786",0.72,0.6835,0.114,0.628,0.054,0.714,0.6515,0.773
"UNC080431402",1.4075,1.4475,1.529,1.515,1.976,1.5415,1.616,1.647
"UNC080431863",1.145,1.0795,0.999,1.1595,1.348,1.0975,1.0305,1.004
"UNC080433052",1.096,1.1765,0.066,0.043,1.352,1.191,1.0395,1.178
"UNC080433351",0.3635,0.3625,0.387,0.3695,0.395,0.3515,0.3915,0.331
"UNC080433562",1.358,1.435,1.341,0.2515,1.454,1.365,0.236,1.418
"UNC080434173",0.163,0.1485,0.957,1.01,0.16,0.151,0.0685,0.067
"UNC080434909",0.324,0.3195,0.253,0.3615,0.314,0.3065,0.295,0.311
"UNC080435699",0.386,0.715,0.624,0.4295,0.477,0.683,0.3315,0.623
"UNC080440907",0.28,0.288,0.02,0.479,0.251,0.253,0.577,0.323
"UNC080442576",0.0745,0.088,1.137,0.0925,0.112,1.2685,1.308,0.075
"UNC080443782",0.1805,0.1665,0.465,0.144,0.138,0.1515,0.4625,0.097
"UNC080446761",2.228,2.1915,2.024,2.307,2.756,2.17,2.129,2.009
"UNC080447253",2.494,2.4725,2.19,2.579,3.11,2.398,2.4875,2.218
"UNC080463080",0.073,0.0865,0.098,0.35,0.066,0.079,0.077,0.112
"UNC080468672",0.066,0.9515,0.061,0.0355,0.74,0.065,0.88,0.061
"UNC080470033",0.0255,0.9775,0.019,0.035,1.134,0.022,0.964,0.93
"UNC080476779",0.9525,0.0785,0.919,0.0615,0.104,0.0725,1.0645,0.061
"UNC080481009",1.239,0.026,1.219,1.243,0.014,1.3145,0.0175,0.02
"UNC080486295",2.0785,2.001,1.87,2.108,2.507,1.9615,2.0075,1.854
"UNC080486935",1.447,1.469,1.405,1.6055,1.919,1.4735,1.4585,1.404
"UNC080491032",0.333,0.855,0.27,0.8345,0.941,0.283,0.8815,0.263
"UNC080491573",0.7995,0.396,0.765,0.454,0.445,0.807,0.31,0.359
"UNC080492897",1.2615,1.095,1.176,1.165,1.615,1.1055,1.125,0.992
"UNC080495139",0.0055,0.708,0.011,0.004,0.482,0.7405,0.666,0.751
"UNC080499263",0.0025,0.815,0.01,0.832,0.623,0.009,0.702,0.004
"UNC080500608",0.0265,1.0665,0.015,0.0095,1.11,1.1215,0.0045,0.019
"UNC080502533",1.463,0.0225,1.393,0.023,0.02,1.4385,1.4885,0.013
"UNC080503404",0.01,0.898,0.008,1.043,0.961,0.014,0.9285,0.016
"UNC080503812",0.0335,1.1285,0.028,0.02,0.016,0.0225,1.0825,1.14
"UNC080506106",0.9785,0.0145,0.946,0.0185,0.025,0.019,0.014,0.018
"UNC080510478",0.7445,0.6505,1.05,0.5765,0.406,1.0385,0.6085,0.672
"UNC080513612",0.0395,0.695,0.034,0.6575,0.029,0.0325,0.7515,0.693
"UNC080521812",0.8925,0.0335,0.801,0.032,1.182,0.036,0.03,0.028
"UNC080522188",0.0515,1.653,0.039,1.8425,0.072,0.0525,1.835,0.034
"UNC080522549",0.024,1.0515,0.021,1.077,0.931,1.09,0.02,1.036
"UNC080525928",0.0405,0.0405,0.751,0.023,0.04,0.0445,0.0465,0.038
"UNC080529384",0.0105,0.6085,0.008,0.0075,0.414,0.6005,0.013,0.607
"UNC080530309",0.558,0.194,0.499,0.2215,0.265,0.2325,0.2275,0.217
"UNC080531125",0.0055,0.634,0.005,0.555,0.419,0.681,0.567,0.005
"UNC080532324",0.745,0.395,0.886,0.421,0.333,0.2605,0.2485,0.258
"UNC080532671",0.0305,0.17,0.02,0.0205,0.154,0.1345,0.0125,0.094
"UNC080533103",2.0975,2.049,1.967,2.1695,2.647,2.0605,2.127,1.926
"UNC080549794",1.2255,0.1275,1.145,0.132,0.152,1.237,0.161,0.136
"UNC080555524",1.3895,0.0285,1.408,0.0455,0.026,1.459,0.036,0.021
"UNC080558632",0.1075,0.1285,0.671,0.097,0.507,0.584,0.089,0.096
"UNC080562253",1.4135,1.469,1.551,1.439,2.03,1.594,1.4965,1.479
"UNC080571176",1.256,1.242,1.204,0.0025,1.241,0.0045,1.249,0.001
"UNC080571988",1.403,1.297,1.291,0.0185,1.494,0.035,0.0175,0.014
"UNC080582144",0.708,0.7615,0.667,0.2745,0.76,0.4635,0.6795,0.465
"UNC080591069",0.016,0.795,0.014,0.7225,0.583,0.844,0.0155,0.867
"UNC080593146",2.389,2.3295,2.124,2.253,2.848,2.242,2.2795,2.18
"UNC080596606",0.4275,0.009,0.46,0.006,0,0.006,0.005,0.007
"UNC080598826",1.5885,1.576,1.45,1.6415,1.884,1.6025,1.5945,1.42
"UNC080608530",0.1215,0.131,0.117,0.073,0.968,1.06,1.0835,0.055
"UNC080611146",1.7435,1.811,1.535,1.883,2.195,1.809,1.75,1.671
"UNC080612343",2.409,2.345,2.321,2.465,3.049,2.395,2.444,2.162
"UNC080614185",0.1355,0.131,0.097,0.145,0.173,0.1255,0.123,0.101
"UNC080614925",0.2535,0.3115,0.238,0.3165,0.333,0.2645,0.271,0.224
"UNC080616646",0.6105,0.7805,0.866,0.6185,0.021,0.0265,0.5755,0.027
"UNC080618382",0.8435,0.0015,0.874,0.0025,0.003,0.8885,0.8685,0.001
"UNC080619407",0.8045,0.0245,0.751,0.0195,0.021,0.769,0.02,0.733
"UNC080644274",0.0495,0.0585,0.06,0.049,0.072,0.065,0.0415,0.04
"UNC080644377",1.365,1.422,1.28,1.372,1.335,1.357,1.4365,1.329
"UNC080656100",0.013,0.009,0.013,1.6515,0.013,1.4915,1.5405,1.394
"UNC080657344",1.169,1.215,1.12,0.05,0.034,0.0305,1.352,1.168
"UNC080671076",0.127,0.1105,0.077,1.729,0.138,1.5655,1.792,1.539
"UNC080674985",1.0695,1.0855,0.012,1.146,1.027,1.126,1.1505,1.085
"UNC080679086",2.7735,2.7115,2.605,2.785,3.341,2.6935,2.6485,2.516
"UNC080762124",0.001,1.0265,1.052,0.053,1.032,0.001,0.054,0.058
"UNC080855853",1.515,1.571,1.52,0.1355,1.533,0.147,0.0925,1.62
"UNC080898328",2.509,2.4175,2.258,2.517,3.139,2.3685,2.427,2.26
"UNC080917948",0.083,0.082,0.053,1.0435,0.092,1.0475,1.01,0.057
"UNC080947702",0.011,0.0105,0.008,1.2895,0.019,1.2085,1.2955,0.008
"UNC080969384",0.013,0.0115,0.583,0.007,0.363,0.0155,0.005,0.011
"UNC081143045",0.2335,0.2135,0.193,0.233,0.793,0.7325,0.2075,0.18
"UNC081153176",1.0735,1.01,1.104,0.014,0.011,0.019,0.0215,0.019
"UNC081244158",1.0265,0.98,1.027,0.001,0.012,0.974,0.0035,0.006
"UNC081264241",0.0205,0.0125,0.021,0.5795,0.548,0.6995,0.558,0.017
"UNC081304921",0.3125,0.3525,0.243,0.3845,0.461,0.289,0.3395,0.266
"UNC081371717",0.9045,0.862,0.807,0.0335,0.014,0.017,0.905,0.032
"UNC081375663",0.0625,0.067,0.061,1.4885,0.057,1.3485,1.418,0.054
